CODIGO;NOME;DTINICIO;DTFIM;DESCRICAO;INCIDENCIAEXCLUSIVAEMPREGADO
1000;Salário, vencimento, soldo;1012014;;Corresponde ao salário básico contratual do empregado contratado de acordo com a CLT e o vencimento mensal do servidor público e do militar;
1001;Subsídio;1012014;;Corresponde à remuneração paga na forma de subsídio;
1002;Descanso semanal remunerado - DSR;1012014;30042024;Valor correspondente a um dia de trabalho incidente sobre as verbas de natureza variável, tais como: horas extras, adicional noturno, produção, comissão, etc.;
1003;Horas extraordinárias;1012014;;Valor correspondente à hora extraordinária de trabalho, acrescido de percentual de no mínimo 50%;
1004;Horas extraordinárias - Banco de horas;1012014;;Valor correspondente a pagamento das horas extraordinárias, inicialmente destinadas para o banco de horas e que não foram compensadas;
1005;Direito de arena;1012014;;Valores relativos a direito de arena decorrente do espetáculo, devidos ao atleta;
1006;Intervalos intra e inter jornadas não concedidos;1012014;;Valores relativos a intervalos não concedidos de intrajornada ou interjornada;
1007;Luvas e premiações;1012014;;Valores correspondentes a prêmios e luvas, devidos ao atleta;
1009;Salário-família - Complemento;1012014;;Valor excedente ao do fixado pela previdência social para o salário-família;
1010;Salário in natura - Pagos em bens ou serviços;1012014;;Salário in natura, também conhecido por salário utilidade, correspondente a remunerações pagas em bens ou serviços;
1011;Sobreaviso e prontidão;1012014;;Valor correspondente a um percentual da hora normal de trabalho;
1012;Descanso semanal remunerado - DSR e feriado;1012014;;"Valores correspondentes a DSR e feriado: a) devidos a trabalhadores cuja remuneração não inclua o pagamento do descanso semanal remunerado (horistas, diaristas, semanalistas etc.); b) incidentes sobre parcelas salariais de natureza variável, tais como tarefa, horas extras, adicional noturno, produção, comissão etc.; c) devidos a trabalhadores que prestaram serviços nos dias de repouso semanal e feriado";
1015;Adiantamento de férias;1012014;;Valor correspondente ao pagamento do adiantamento da remuneração de férias, inclusive do terço constitucional;
1016;Férias;1012014;31122025;Valor correspondente à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias;
1016;Férias;1012026;;Valor correspondente à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias;
1017;Terço constitucional de férias;1012014;31122025;Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias, inclusive o adiantamento de férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias;S
1017;Terço constitucional de férias;1012026;;Valor correspondente ao terço constitucional de férias relativo à remuneração devida na época da concessão das férias. Nessa natureza deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de terço constitucional de férias;S
1018;Férias - Abono ou gratificação de férias superior a 20 dias;1012014;;Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT;S
1019;Terço constitucional de férias - Abono ou gratificação de férias superior a 20 dias;1012014;;Terço constitucional de férias incidente sobre remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT;S
1020;Férias;1012014;30042023;Valor correspondente à remuneração a que faz jus na época da concessão das férias e o adicional constitucional a que o trabalhador adquiriu direito, inclusive o adiantamento de férias, quando pagas antecipadamente – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de férias;
1021;Férias - Abono ou gratificação de férias superior a 20 dias;1012014;30042023;Remuneração a título de abono de férias, desde que excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo, o art. 144 da CLT;S
1022;Férias - Abono ou gratificação de férias não excedente a 20 dias;1012014;;Remuneração a título de abono de férias, incluído o terço constitucional de férias, desde que não excedente a 20 (vinte) dias do salário e concedido em virtude de cláusula contratual, do regulamento da empresa, de convenção ou acordo coletivo, como por exemplo o art. 144 da CLT;S
1023;Férias - Abono pecuniário;1012014;;Valor correspondente a conversão em dinheiro de parte dos dias de férias a que o trabalhador adquiriu direito, inclusive o adicional constitucional;
1024;Férias - Dobro na vigência do contrato;1012014;;Valor correspondente a remuneração a que faz jus na época da concessão das férias, concedidas após o prazo de concessão, inclusive o adicional constitucional;
1040;Licença-prêmio;1012014;;Valor relativo a licença-prêmio, em decorrência de afastamento do trabalho;
1041;Licença-prêmio indenizada;1012014;;Valor correspondente à conversão em dinheiro da licença-prêmio;
1050;Remuneração de dias de afastamento;1012014;;Remuneração de dias nos quais o trabalhador esteja afastado do trabalho sem prejuízo de sua remuneração;
1080;Stock option;1012014;;Remuneração pelo exercício de opção de compra de ações da empresa;
1099;Outras verbas salariais;1012014;;Outras verbas salariais/remuneratórias não previstas nos demais itens;
1201;Adicional de função / cargo confiança;1012014;;Adicional ou gratificação concedida em virtude de cargo ou função de confiança;
1202;Adicional de insalubridade;1012014;;Adicional por serviços em condições de insalubridade;
1203;Adicional de periculosidade;1012014;;Adicional por serviços em condições perigosas;
1204;Adicional de transferência;1012014;;Adicional em razão de transferência de trabalhador, enquanto durar a transferência;
1205;Adicional noturno;1012014;;Adicional por trabalho em horário noturno;
1206;Adicional por tempo de serviço;1012014;;Adicional em virtude do tempo de serviço (anuênio, quinquênio, etc.);
1207;Comissões, porcentagens, produção;1012014;;Valor correspondente a contraprestação de serviço, normalmente baseada em um percentual sobre as vendas totais desse trabalhador;
1208;Gueltas ou gorjetas - Repassadas por fornecedores ou clientes;1012014;;Valores pagos diretamente por fornecedores a trabalhador a título de incentivos de vendas (gueltas) ou por clientes a título de recompensa por bons serviços prestados (gorjetas);
1209;Gueltas ou gorjetas - Repassadas pelo empregador;1012014;;Valores pagos relativos a gueltas ou gorjetas, por meio de repasse ao empregador;
1210;Gratificação por acordo ou convenção coletiva;1012014;;Verba estabelecida em acordo ou convenção coletiva de trabalho;
1211;Gratificações;1012014;;Verba não estabelecida em acordo ou convenção coletiva, mas paga para o empregado em decorrência de ajuste entre as partes ou por liberalidade do empregador, como por exemplo produtividade, assiduidade, etc.;
1212;Gratificações ou outras verbas de natureza permanente;1012014;;Órgão público - Parcelas remuneratórias reconhecidamente inerentes às funções do cargo efetivo, cujo valor integra a remuneração do cargo efetivo;
1213;Gratificações ou outras verbas de natureza transitória;1012014;;Órgão público - Parcelas remuneratórias vinculadas à atividade cujo recebimento dependa de avaliação de desempenho ou determinadas condições;
1214;Adicional de penosidade;1012014;;Adicional pela realização de atividade árdua que exija do trabalhador esforço, atenção ou vigilância acima do comum;
1215;Adicional de unidocência;1012014;;Adicional de unidocência para professores de 1ª a 4ª série;
1216;Adicional de localidade;1012014;;Adicional pela realização de atividade em localidade transfronteiriça;
1217;Gratificação de curso/concurso;1012014;;Verba de natureza remuneratória por atividade exercida em curso/concurso;
1225;Quebra de caixa;1012014;;Valor destinado a cobrir os riscos assumidos por quem trabalha com manuseio de valores, para compensar eventuais descontos ou diferenças de numerários;
1230;Remuneração do dirigente sindical;1012014;;Remuneração paga ao trabalhador afastado, durante o exercício da atividade sindical;
1299;Outros adicionais;1012014;;Valores relativos a outros adicionais não previstos nos demais itens;
1300;PLR - Participação em Lucros ou Resultados;1012014;;Valor correspondente a participação em lucros ou resultados da empresa, de acordo com lei específica;
1350;Bolsa de estudo - Estagiário;1012014;;Valor devido ao estagiário em atividades práticas de complementação do currículo escolar, inclusive os valores pagos a título de recesso remunerado - Lei 11.788/2008;
1351;Bolsa de estudo - Médico residente;1012014;;Bolsa de estudo ao médico residente;
1352;Bolsa de estudo ou pesquisa;1012014;;Remuneração a professores, pesquisadores e demais profissionais com a finalidade de estudos ou pesquisa, exceto pagamentos a estagiário e médico-residente;
1401;Abono;1012014;;Qualquer abono concedido de forma espontânea ou em virtude de acordo ou convenção coletiva, norma, etc.;
1402;Abono PIS/PASEP;1012014;;Abono e/ou rendimento do PIS/PASEP repassado pelo empregador ou órgão público;
1403;Abono legal;1012014;;As importâncias recebidas a título de ganhos eventuais e os abonos expressamente desvinculados do salário, por força da lei;
1404;Auxílio babá;1012014;;Valor relativo a reembolso de despesas com babá, limitado ao menor salário de contribuição mensal e condicionado à comprovação do registro na carteira de trabalho e previdência social da empregada, do pagamento da remuneração e do recolhimento da contribuição previdenciária, pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança (caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior);
1405;Assistência médica;1012014;;Valor pago diretamente ao trabalhador a título de assistência médica ou odontológica, inclusive o reembolso de despesas com medicamentos, óculos, aparelhos ortopédicos, despesas médico-hospitalares e outras similares;
1406;Auxílio-creche;1012014;;O reembolso creche pago em conformidade com a legislação trabalhista, observado o limite máximo de 6 (seis) anos de idade da criança, quando devidamente comprovadas as despesas realizadas. Caso haja previsão em acordo coletivo da categoria, este limite de idade poderá ser maior;
1407;Auxílio-educação;1012014;;"Valor relativo a plano educacional, ou bolsa de estudo, que vise à educação básica de trabalhadores e seus dependentes e, desde que vinculada às atividades desenvolvidas pela empresa, à educação profissional e tecnológica de trabalhadores, nos termos da Lei 9.394/1996, e: 1) não seja utilizado em substituição de parcela salarial; 2) o valor mensal do plano educacional ou bolsa de estudo, considerado individualmente, não ultrapasse 5% (cinco por cento) da remuneração do segurado a que se destina ou o valor correspondente a uma vez e meia o valor do limite mínimo mensal do salário de contribuição, o que for maior";
1409;Salário-família;1012014;;Valor do salário-família, conforme definição legal aplicável;
1410;Auxílio - Locais de difícil acesso;1012014;;Valor correspondente a transporte, habitação e alimentação fornecido ao trabalhador contratado para prestar serviço em localidade distante da sua residência, em canteiro de obras ou local que, por força da atividade, exija deslocamento e estada;
1411;Auxílio-natalidade;1012014;;Valor relativo ao nascimento do filho de servidor público, previsto em lei;S
1412;Abono permanência;1012014;;Valor relativo ao abono de permanência, de acordo com a CF/1988;
1601;Ajuda de custo - Aeronauta;1012014;;Adicional mensal recebidos pelo aeronauta, nos termos da Lei 5.929/1973;
1602;Ajuda de custo de transferência;1012014;;Ajuda de custo em parcela única, em razão de transferência de local de trabalho;
1603;Ajuda de custo - até 50% da remuneração mensal;1052018;31032019;Ajuda de custo paga ao trabalhador, desde que não exceda a 50% da sua remuneração mensal;
1603;Ajuda de custo;1042019;;Ajuda de custo paga ao trabalhador;
1604;Ajuda de custo - Acima de 50% da remuneração mensal;1052018;31032019;Ajuda de custo paga ao trabalhador, superior a 50% da sua remuneração mensal;
1619;Ajuda compensatória - Programa Emergencial de Manutenção do Emprego e da Renda;1042020;;Ajuda compensatória paga pelo empregador ao empregado durante período de suspensão do contrato de trabalho ou redução proporcional de salário e jornada;
1620;Ressarcimento de despesas pelo uso de veículo próprio;1012014;;Ressarcimento de despesas ao trabalhador, pela utilização de veículo de sua propriedade;
1621;Ressarcimento de despesas de viagem, exceto despesas com veículos;1012014;;Ressarcimento de despesas pagas com recursos do trabalhador em viagens a trabalho;
1623;Ressarcimento de provisão;1012014;;Ressarcimento de desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária;
1629;Ressarcimento de outras despesas;1012014;;Ressarcimento de outras despesas pagas pelo trabalhador, não previstas nos demais itens;
1650;Diárias de viagem;1052018;;Diárias de viagem ao trabalhador;
1651;Diárias de viagem - Até 50% do salário;1012014;30042018;Diárias de viagem ao trabalhador, desde que não exceda a 50% do seu salário-base mensal;
1652;Diárias de viagem - Acima de 50% do salário;1012014;30042018;Diárias de viagem superior a 50% do salário-base mensal;
1799;Alimentação concedida em pecúnia com caráter indenizatório;1012014;;Auxílio-alimentação ou alimentação concedida sob a forma de pecúnia com natureza indenizatória por força de lei;S
1800;Alimentação concedida em pecúnia;1012014;31122025;Alimentação concedida sob a forma de pecúnia;S
1800;Alimentação concedida em pecúnia com caráter salarial;1012026;;Alimentação concedida sob a forma de pecúnia com natureza salarial;S
1801;Alimentação;1012014;30062021;Auxílio-alimentação;S
1802;Etapas (marítimos);1012014;;Auxílio-alimentação ao trabalhador marítimo;S
1805;Moradia;1012014;;Auxílio-moradia;S
1806;Alimentação em ticket ou cartão, vinculada ao PAT;1012014;;Alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT;S
1807;Alimentação em ticket ou cartão, não vinculada ao PAT;1012014;;Alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT;S
1808;Cesta básica ou refeição, vinculada ao PAT;1012014;;Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT;S
1809;Cesta básica ou refeição, não vinculada ao PAT;1012014;;Alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT;S
1810;Transporte;1012014;31122025;Auxílio-transporte ou vale-transporte;S
1810;Vale-transporte ou auxílio-transporte com caráter indenizatório;1012026;;Vale-transporte ou auxílio-transporte com natureza indenizatória por força de lei;S
1811;Auxílio-transporte ou auxílio-combustível com caráter salarial;1012014;;Auxílio-transporte, pago em pecúnia ou de outra forma, com natureza salarial;S
1899;Outros auxílios;1012014;;Valores relativos a outros auxílios não previstos nos demais itens;
1901;Juros e/ou atualização monetária;1012014;;Juros e/ou atualização monetária devidos pelo atraso no pagamento de valores por exercício de emprego, cargo ou função;
2501;Prêmios;1012014;30042018;Prêmios diversos;
2501;Prêmios;1052018;31032019;Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades, em até duas parcelas anuais;
2501;Prêmios;1042019;;Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades;
2502;Liberalidades concedidas em mais de duas parcelas anuais;1052018;31032019;Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades, em mais de duas parcelas anuais;
2510;Direitos autorais e intelectuais;1012014;;Valor correspondente a participação em produção científica, intelectual ou artística;
2801;Quarentena remunerada;1012014;;Valor equivalente a remuneração se em exercício estivesse, devida ao trabalhador desligado, em período de quarentena;
2901;Empréstimos;1012014;;Empréstimos ao trabalhador para posterior desconto;
2902;Vestuário e equipamentos;1012014;31072021;Valor correspondente a vestuários, equipamentos e outros acessórios fornecidos ao trabalhador e utilizados no local de trabalho para prestação dos respectivos serviços;
2903;Vestuário e equipamentos;1012014;;Valor correspondente a vestuários, equipamentos e outros acessórios quando esses se constituírem em salário utilidade;
2920;Reembolsos diversos;1012014;31072021;Valor relativo a reembolsos diversos referentes a descontos indevidos efetuados em competências anteriores;
